"unknownColumn","unknownColumn2","Weights","unknownColumn3","unknownColumn4","Benchmark Centroids","unknownColumn5","unknownColumn6","unknownColumn7","unknownColumn8","unknownColumn9","Weighted Centroids"
"S.No.","Factors","Base w","Context tweak","Final w","Self regulated planner","Social motivator","Stress-sensitive","Curious Explorer","Resilient Performer","Brittle/Avoidant","Self regulated planner"
"1","Openness","1","0%","1.00","4.0","4.6","4.6","6.4","4.6","2.8","4.0"
"2","Conscientousness","1","0%","1.00","6.4","5.2","2.8","3.4","5.8","2.5","6.4"
"3","Extraversion","1","0%","1.00","4.6","6.4","2.8","4.6","4.6","2.2","4.6"
"4","Agreeableness","1","0%","1.00","4.6","6.1","5.0","4.0","5.0","3.4","4.6"
"5","Neuroticism","1","0%","1.00","1.6","2.8","6.1","2.5","3.5","6.7","1.6"
"","","","","","3.00","","","","","",""
"","","","","","2.92","","","","","",""
"","","","","","3.12","","","","","",""
"","","","","","2.79","","","","","",""
"","","","","","5.17","","","","","",""
