"S.No.","Factors","SF#","Sub-factors","Intent","Questions"
"1","Physiological factors","1.1","DoB","","1"
"","","1.2","Life stage","","1"
"","","1.3","Gender","","1"
"","","1.4","Body composition","","1"
"","","1.5","Genetics","","1"
"","","1.6","Metabolic rate and recovery","","1"
"2","Psychological factors","2.1","Motivation type","","3"
"","","2.2","Mindset","","3"
"","","2.3","Discipline","","3"
"","","2.4","Self-efficacy","","3"
"","","2.5","Personality traits","","3"
"","","2.6","Emotional health & stress resilience","","3"
"3","Behavioral factors","3.1","Daily habits & routines","","3"
"","","3.2","Past behaviour patterns","","3"
"","","3.3","Sleep hygiene","","3"
"","","3.4","Substance use","","3"
"","","3.5","Consistency & adaptability","","3"
"4","Knowledge & awareness","4.1","Health literacy","","3"
"","","4.2","Nutrition knowledge","","3"
"","","4.3","Exercise knowledge","","3"
"","","4.4","Awareness of long-term benefits","","3"
"","","4.5","Susceptibility to misinformation","","3"
"5","Sociocultural factors","5.1","Social support system","","3"
"","","5.2","Cultural norms","","3"
"","","5.3","Religious/spiritual beliefs","","3"
"","","5.4","Community & Peer behaviour","","3"
"","","5.5","Socioeconomic status","","3"
"","","5.6","Living environment","","3"
"6","Technological engagement factors","6.1","Use of fitness apps","","3"
"","","6.2","Wearble tech adoption","","3"
"","","6.3","Engagement in online communities","","3"
"","","6.4","Exposure to social media influencers","","3"
"","","6.5","Digital health literacy","","3"
"7","Occupational and lifestyle factors","7.1","Job activity level","","3"
"","","7.2","Work hours & flexibility","","3"
"","","7.3","workplace wellness culture","","3"
"","","7.4","occupational stress & demands","","3"
"","","","","","99"
