Recommendation ID,Recommendation,Original Strength,Revised Strength,Reason
SLP018,Use lighter evening meals if heavy meals disrupt sleep.,supporting,conditional,Specific to users whose sleep is affected by heavy evening meals.
SLP019,Avoid going to bed extremely hungry if it causes wakefulness.,supporting,conditional,Specific to users whose hunger disrupts sleep or triggers cravings.
SLP020,"If sleep is poor, reduce workout intensity instead of forcing a hard session.",core,conditional,Recovery rules are conditional by definition and depend on poor sleep.
SLP023,Write tomorrow’s top three tasks before bed if your mind stays active.,supporting,optional,Helpful for active-mind users but not essential for everyone.
SLP025,Avoid obsessive sleep tracking if it increases anxiety.,core,conditional,Only relevant when tracking increases anxiety.
NUT017,"After overeating, return to the next normal meal.",core,conditional,Recovery rule applies specifically after overeating episodes.
NUT018,Use flexible eating rules during social events.,supporting,conditional,Applies specifically to social-event contexts.
NUT024,"Use one travel nutrition anchor, such as one protein meal daily.",core,conditional,Travel nutrition anchor is only relevant for travel-heavy users.
NUT025,Use a simple cafeteria decision rule when you do not control meals.,core,conditional,Cafeteria decision rules are only relevant when meal control is limited.
NUT026,Avoid under-eating during high training loads.,core,conditional,Under-eating concern applies primarily under high training loads.
FIT012,"If you miss a workout, do the smallest version next time.",core,conditional,Recovery rule applies only after missed workouts.
FIT014,Add controlled variety without changing the entire plan.,supporting,optional,Exercise variety is preference-dependent and not essential for progress.
FIT016,"If sleep is poor, choose walking, mobility, or lighter strength work.",core,conditional,Recovery rule depends on poor sleep or low recovery.
FIT019,Use private or low-pressure environments when rebuilding confidence.,core,conditional,Low-pressure environments are specifically for users rebuilding confidence.
FIT020,Avoid group environments early if they increase gym anxiety.,core,conditional,Applies only when group environments increase gym anxiety.
FIT021,Use group classes or a workout buddy if social energy helps.,supporting,optional,Workout buddies or classes are preference-dependent.
FIT022,Use social reinforcement without fueling comparison.,supporting,conditional,Coach note applies to socially motivated users and comparison risk.
FIT023,Use bodyweight workouts or walking during travel-heavy periods.,supporting,conditional,Travel-friendly workouts are relevant under travel-heavy contexts.
FIT024,Avoid rigid workout plans that collapse when travel disrupts the schedule.,supporting,conditional,Rigid travel-plan warning applies under travel-heavy contexts.
MW011,"When stress is high, shrink the habit before dropping it.",core,conditional,Recovery rule applies specifically during high stress.
MW017,Use non-shaming language with emotionally sensitive or low-activation users.,core,conditional,Coach note applies to specific sensitive or low-activation profiles.
MW022,Use reflection to identify triggers without judging yourself.,supporting,optional,Reflection is helpful but preference-dependent and can be overused.
MW026,Use gentle accountability if support improves consistency.,supporting,optional,Gentle accountability is useful but depends on support preference.
MW027,Avoid public accountability too early if it creates shame.,core,conditional,Applies only when public accountability creates shame.
MW029,Use flexible routines during major life transitions.,supporting,conditional,Flexible routines are specifically for major transitions and disruption.
FIT018,Avoid making every workout maximal effort.,core,supporting,Avoiding maximal effort supports sustainable training but is not always foundational.
